Username,Category*,Title*,Subtitle,Date*,Time: Start*,Time: End,Location*,Audience*,Description,Note about repeating dates,Other important info,Sponsors,Tags,Invisible--Will not display on web site (for internal programs/stats use only),Central Event Location,*Required field
tesslerj,Spanish-English Storytime,Spanish-English Storytime,,1/4/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Spanish-English Storytime,Spanish-English Storytime,,1/11/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Spanish-English Storytime,Spanish-English Storytime,,1/18/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Spanish-English Storytime,Spanish-English Storytime,,1/25/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Spanish-English Storytime,Spanish-English Storytime,,2/1/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Spanish-English Storytime,Spanish-English Storytime,,2/8/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Spanish-English Storytime,Spanish-English Storytime,,2/15/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Spanish-English Storytime,Spanish-English Storytime,,2/22/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Spanish-English Storytime,Spanish-English Storytime,,3/1/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Spanish-English Storytime,Spanish-English Storytime,,3/8/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Spanish-English Storytime,Spanish-English Storytime,,3/15/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Spanish-English Storytime,Spanish-English Storytime,,3/22/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Spanish-English Storytime,Spanish-English Storytime,,3/29/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Spanish-English Storytime,Spanish-English Storytime,,4/5/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Spanish-English Storytime,Spanish-English Storytime,,4/12/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Spanish-English Storytime,Spanish-English Storytime,,4/19/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Spanish-English Storytime,Spanish-English Storytime,,4/26/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Spanish-English Storytime,Spanish-English Storytime,,5/3/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Spanish-English Storytime,Spanish-English Storytime,,5/10/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Spanish-English Storytime,Spanish-English Storytime,,5/17/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Spanish-English Storytime,Spanish-English Storytime,,5/24/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Spanish-English Storytime,Spanish-English Storytime,,5/31/23,9:30 AM,10:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,All Ages Storytime,All Ages Storytime,,1/4/23,10:30 AM,11:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,All Ages Storytime,All Ages Storytime,,1/11/23,10:30 AM,11:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,All Ages Storytime,All Ages Storytime,,1/18/23,10:30 AM,11:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,All Ages Storytime,All Ages Storytime,,1/25/23,10:30 AM,11:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,All Ages Storytime,All Ages Storytime,,2/1/23,10:30 AM,11:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,All Ages Storytime,All Ages Storytime,,2/8/23,10:30 AM,11:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,All Ages Storytime,All Ages Storytime,,2/15/23,10:30 AM,11:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,All Ages Storytime,All Ages Storytime,,2/22/23,10:30 AM,11:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,All Ages Storytime,All Ages Storytime,,3/1/23,10:30 AM,11:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,All Ages Storytime,All Ages Storytime,,3/8/23,10:30 AM,11:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,All Ages Storytime,All Ages Storytime,,3/15/23,10:30 AM,11:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,All Ages Storytime,All Ages Storytime,,3/22/23,10:30 AM,11:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,All Ages Storytime,All Ages Storytime,,3/29/23,10:30 AM,11:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,All Ages Storytime,All Ages Storytime,,4/5/23,10:30 AM,11:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,All Ages Storytime,All Ages Storytime,,4/12/23,10:30 AM,11:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,All Ages Storytime,All Ages Storytime,,4/19/23,10:30 AM,11:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,All Ages Storytime,All Ages Storytime,,4/26/23,10:30 AM,11:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,All Ages Storytime,All Ages Storytime,,5/3/23,10:30 AM,11:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,All Ages Storytime,All Ages Storytime,,5/10/23,10:30 AM,11:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,All Ages Storytime,All Ages Storytime,,5/17/23,10:30 AM,11:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,All Ages Storytime,All Ages Storytime,,5/24/23,10:30 AM,11:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,All Ages Storytime,All Ages Storytime,,5/31/23,10:30 AM,11:30 AM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Pajama Storytime,PJ Storytime,,1/19/23,6:30 PM,7:30 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Pajama Storytime,PJ Storytime,,2/16/23,6:30 PM,7:30 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Pajama Storytime,PJ Storytime,,3/16/23,6:30 PM,7:30 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Pajama Storytime,PJ Storytime,,4/20/23,6:30 PM,7:30 PM,Little Walnut Creek Branch,Children,,,,,,,,
tesslerj,Pajama Storytime,PJ Storytime,,5/18/23,6:30 PM,7:30 PM,Little Walnut Creek Branch,Children,,,,,,,,
